STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01750,A01750,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N04450,A04450,N04100,A04100,N04200,A04200,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18460,A18460,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19570,A19570,N19700,A19700,N20950,A20950,N04475,A04475,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07225,A07225,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
13,GA,0,2,1091940,507730,256510,291450,990890,51780,540300,798760,2153230,815370,21640,11050,10600,550,278300,195960,39364394,1091940,39817945,959360,33883250,152300,118927,84570,224597,76100,153070,121100,109791,211550,530255,69700,199075,195480,3508652,8470,28450,65564,144830,1003883,30720,262384,242840,453551,24750,5999,480,4894,14740,56864,16260,58987,103560,109692,1011620,16711250,1011610,16481686,120800,231104,81740,1732417,3149568,47460,555750,62820,122310,15180,21186,53520,140515,36900,24253,68880,264084,80670,324407,48780,337230,870,4219,1300,1067,760,1384,68810,399921,3100,27131,105870,177875,1080950,20609981,1075140,2256755,0,0,42880,34072,563970,685607,15880,1274,70500,45648,96180,102339,201460,42103,401700,485131,7420,8176,105300,264380,66030,563383,68740,603677,54180,38699,1056300,4207949,319080,721661,283820,620911,296360,600196,68660,61088,16360,15413,742250,1571944,816630,1888674,0,0,0,0,191440,309305,895420,2612245,890520,2595440,6060,14488
13,GA,0,3,596810,239350,245050,91720,538450,28890,307740,384380,1246820,407310,7320,2380,4940,0,102520,150700,36662349,596810,37044731,516380,29238335,150830,134170,89880,310098,82400,218056,150520,161794,112950,500441,74570,310221,158650,4268184,8790,12840,33690,114330,1757766,29670,404381,174410,382382,26480,6667,1140,11778,10430,58162,13500,59896,85040,99018,498080,9180106,498080,9011151,88150,168741,99930,2260690,6295076,40590,506232,86500,266897,11720,18648,81890,227811,48490,29375,89150,475656,99280,535279,76790,553328,1410,7417,4040,4133,870,2700,87140,566965,3580,34583,75000,199992,595260,24896925,593850,3057764,0,0,13740,32689,271820,603295,22470,2388,36020,20828,48370,60249,44710,7466,217280,494374,5350,8065,61910,167242,13400,127560,18210,170792,19070,19763,582880,3445214,3810,1547,2220,911,58720,103097,33860,30599,1260,1658,532870,2455403,550750,2660622,20,4,0,0,162060,370486,434160,1138037,428320,1116748,8470,23442
13,GA,0,4,369220,99480,226510,33340,334760,16810,197100,222270,865470,270140,2020,670,1360,0,46320,109370,31984161,369220,32269641,317920,24281153,129640,131239,81150,338283,74790,243402,132750,166015,72700,474613,68110,393073,121570,4237032,4820,6950,19169,84710,1726611,24870,452614,106350,285480,17020,4583,450,6374,6930,46832,7180,38368,43290,50307,283900,5985359,283890,5858020,63420,128259,84720,2096298,7438495,24660,333632,75540,324857,6960,11901,74730,235414,40000,22899,76490,519919,84330,574548,69360,555740,650,3237,2730,2496,610,1528,74190,536752,1210,19272,58000,198186,368750,23584603,368010,3081118,0,0,4590,21248,171970,462839,20360,3464,27910,16470,30720,39133,0,0,145700,388932,2230,4299,43080,126440,1720,13763,5590,48210,6710,9883,362850,3203530,0,0,0,0,7080,11528,21550,18978,0,0,358430,2617493,361810,2778318,0,0,0,0,115530,335013,251880,753045,246110,728598,5740,19774
13,GA,0,5,559400,84420,441510,24190,510210,26660,308820,260430,1480000,480380,540,270,280,0,36750,170400,76518602,559400,77232773,491810,56864133,276160,378050,195690,1192754,183070,898070,295650,459522,120420,1411453,170750,1804270,200470,9652134,11140,8280,25747,122270,2994643,68990,2154785,191090,714171,34960,9690,4450,69175,18340,159909,16670,97863,66900,78316,362670,8314821,362640,8130813,85950,181895,196750,5826459,28301152,33300,516813,184240,1298376,10600,21430,183860,744862,98850,54153,183370,1627102,196590,1757664,170990,1706282,2630,15824,11780,9414,5930,21753,179730,1645406,4850,65471,125160,701534,559010,61527410,558500,9420232,390,1552,2110,14901,307330,861801,61450,19296,53690,30964,48230,62539,0,0,252480,702458,1850,4082,77850,291822,0,0,2580,20114,5290,13134,552520,8978535,0,0,0,0,100,206,39200,35942,0,0,556190,8556661,557160,8932424,4370,1218,560,194,253250,1155523,305050,1188557,290040,1075243,19580,123397
13,GA,0,6,221710,19250,192800,4120,205520,8910,154960,59580,647100,234490,0,0,0,0,2460,64140,108524320,221710,109795580,197450,57317093,168270,1236172,142370,4451042,136780,3620356,118720,554654,53580,2610060,138730,14166937,68060,4757718,2730,730,2398,36450,1038904,79840,17972269,76840,1271260,4340,1091,11030,395701,23170,312340,2560,24586,0,0,80040,1885365,80030,1842227,18210,39044,139410,10331123,78616001,4470,124654,132270,3433398,5120,12159,131720,1074625,57960,33631,133950,1319617,139400,1513071,118280,1821511,1140,12543,10930,5868,17340,299987,131700,6080408,7150,94134,92170,2449409,221620,93195759,221550,22135619,4130,39922,60,524,148760,647277,68070,187156,21030,11595,0,0,0,0,85040,247799,0,0,48670,440049,0,0,60,556,330,1585,219290,22321322,0,0,0,0,0,0,0,0,0,0,221330,21255550,221540,22662863,106880,216272,122110,475416,121410,2718228,97190,2422855,70520,990745,29220,1332379
15,HI,0,1,198680,149080,24370,20810,167230,17110,89790,110280,253350,61870,9940,4260,5680,1280,27860,51400,2437708,198670,2484890,143720,1860201,37150,19597,18100,32418,16120,20981,3520,2992,30080,204542,14360,18204,32910,311476,1240,3160,15753,9360,18706,2940,3551,32340,47182,320,67,80,721,3450,14394,1000,3453,5510,4686,193870,2592541,193870,2523904,38260,68572,4740,117234,68002,3020,52144,1510,3580,2130,1242,2980,7469,430,203,3680,10263,4410,12740,2440,35164,0,0,160,36,40,93,2450,5137,20,77,6190,4910,80080,473034,78370,47296,0,0,820,257,27970,9378,1040,70,550,196,4570,2253,11960,2124,10450,4301,60,54,25290,36591,4160,28197,4360,27759,2760,1387,170230,340662,59150,129686,49480,114449,28280,43146,6260,5063,2220,2105,60790,37883,82940,77101,0,0,0,0,19550,18380,157570,281771,155890,276312,2160,4024
15,HI,0,2,176050,104270,36970,28850,153060,12600,81010,120800,301140,89770,3840,2360,1480,50,30860,36110,6453055,176050,6523049,154190,5418093,39070,23030,19070,46105,17220,30279,11400,11357,20600,196672,15320,38697,28520,549382,1010,5690,35701,24140,167378,3560,22638,32480,69994,2380,558,190,1349,3080,16246,3350,12199,13670,13182,167480,2619773,167480,2577441,22980,42314,8510,203136,327369,3460,59317,5620,15655,2330,1994,6380,14686,1720,1009,7400,27400,8330,31628,5730,80080,70,681,490,174,100,112,5760,19837,260,3571,15060,25912,174380,3596275,173340,391573,0,0,1940,1362,72570,83921,4230,413,5080,2776,9330,8847,30100,6682,46550,63186,1110,1306,14700,37728,3640,22701,3580,22119,4210,2425,172000,695881,35990,77966,32310,69764,33450,68798,5790,4538,1230,1636,135540,307639,142290,349817,0,0,0,0,23750,34815,151280,379732,149150,372958,2820,6174
15,HI,0,3,106060,50740,39560,12760,90150,8810,55760,61510,205000,59660,1130,490,640,0,12350,31320,6512128,106060,6578065,89530,5015381,39910,29135,21410,64989,19550,44672,18370,21443,15640,170230,16920,65550,27590,778690,780,4090,26390,22520,338594,3540,36231,25130,65937,3470,845,480,4509,2500,15580,2980,13159,9890,10497,92380,1636658,92380,1599945,19760,36804,13660,333487,863410,3230,60405,11040,44904,2370,2471,11480,25245,2730,1681,12490,64106,13630,70560,10980,148870,530,5938,1430,807,200,400,9720,35577,550,4533,13390,34698,105650,4497176,105400,552515,0,0,870,1845,43320,93403,5990,830,4410,2325,5610,6653,7810,1372,32160,76486,1310,3065,10920,33131,720,4496,1320,7870,1590,1485,104410,659410,760,310,580,237,9190,17256,3990,3495,0,0,95510,459049,97960,496094,0,0,0,0,25560,50813,80120,212695,77230,201857,3750,10428
15,HI,0,4,68300,21630,39790,5520,57600,6080,39270,35500,154620,46620,210,140,70,0,5660,23530,5923114,68300,5978746,56780,4306035,33370,27291,18750,71577,17200,49607,19060,24507,11900,159584,15010,84025,22770,842748,510,3140,18174,17420,344357,3280,49575,16130,55632,1900,490,230,3292,1710,12086,1840,9563,4910,5384,54060,1109123,54060,1080529,14350,28436,14160,374483,1239674,2480,45608,12100,66046,1540,1944,12470,28686,2700,1813,12950,86217,14110,93539,11960,175850,390,4059,1410,1017,80,336,10790,43236,260,2337,11200,37592,68160,4385874,68020,577110,0,0,120,402,31200,86060,5360,1025,4150,2265,4450,5723,0,0,24560,69026,950,3134,8190,28976,0,0,240,1262,530,845,67540,624602,0,0,0,0,1870,3252,3240,2894,0,0,65690,490967,66340,523928,0,0,0,0,20450,53158,47620,152118,44840,139452,3370,11408
15,HI,0,5,103630,17790,80490,4200,87320,10050,62490,40350,266850,82920,210,210,0,0,4680,38170,14053605,103630,14191304,87290,9751910,65440,77293,41570,229169,38810,166015,44460,72523,21630,446717,35050,385892,40340,2118978,980,3660,20894,27030,663810,9380,260439,29950,137699,4990,1341,1760,31227,4130,34522,3020,17150,7920,8545,65790,1487776,65780,1442600,21350,45256,37930,1209598,5364343,3670,76188,34970,303743,2640,4407,34960,94417,7480,5790,35470,312509,37880,336583,34120,594745,490,5578,5400,3609,1200,5053,31260,151745,1660,17967,24170,128946,103510,11201999,103400,1699791,110,650,50,372,56750,169041,14130,4729,10260,5663,7660,10135,0,0,43100,124646,2490,12881,15330,74754,0,0,60,409,260,562,102650,1675431,0,0,0,0,240,563,6430,6020,0,0,102590,1530711,102850,1615254,430,98,80,32,44840,192642,58570,248932,51580,200543,8980,51281
15,HI,0,6,30130,4010,24920,450,25670,2970,22140,5960,77770,22880,0,0,0,0,20,13540,12255170,30130,12432229,24560,5496552,25030,144709,19200,513350,18290,386764,12180,67285,8280,691431,18650,1800560,12950,1063215,200,130,711,8700,252612,9300,1580009,9980,177059,430,110,1870,69243,3540,40606,250,2263,0,0,12450,289748,12450,278182,5200,11204,17510,868336,7868526,620,21148,16540,497317,600,1384,16310,82830,2120,1689,16580,160512,17500,189504,15160,327923,190,3470,3350,2122,1910,35959,15300,218099,900,20543,12790,297827,30110,10762516,30100,2418408,700,6450,0,0,19240,99826,9080,25142,2370,1300,0,0,0,0,9360,25808,890,6739,7410,77376,0,0,0,0,0,0,29770,2562616,0,0,0,0,0,0,0,0,0,0,30060,2316866,30100,2496672,10900,15910,16560,75382,14660,313988,15150,374023,8640,113735,7500,251028
16,ID,0,1,254000,180170,39780,31160,228010,12390,102150,157820,331950,82680,12640,940,11700,180,34870,58020,3257093,254000,3304997,198870,2543862,38850,29603,20310,38003,18360,21855,2830,1958,34590,211939,19960,30837,41990,415520,3270,6010,16667,13060,24642,5360,11376,40000,47904,220,51,40,459,4540,11761,690,2255,9070,6585,250050,3458512,250050,3375008,44350,83908,3720,85552,66992,2650,40990,710,1269,1780,1467,2340,6603,290,85,3000,9401,3410,10444,1600,13670,0,0,150,109,40,95,1990,5973,20,137,7900,5568,102320,569125,102240,58337,0,0,5300,1712,34770,11462,1280,54,1320,433,8530,4059,11860,1929,12210,4541,20,24,29030,39408,17580,137554,17640,136538,5340,2960,222010,426086,74890,176476,65410,158272,37570,58303,13050,10860,7530,5270,78910,46751,104750,90204,0,0,0,0,25040,20918,205930,356314,204810,353723,1130,1576
16,ID,0,2,196330,94200,67460,32430,179600,8750,89340,134650,394690,132380,5980,430,5540,20,34350,43380,7120414,196330,7209134,167340,5691769,37790,35042,20170,53693,18400,32356,11110,7749,27810,262028,19430,68840,39430,742805,3920,9590,31053,34530,231951,8300,78202,46900,88720,2980,685,100,1045,5180,18618,3340,12769,21260,19490,189630,3272288,189630,3215429,28870,57288,6560,151934,259969,4170,59826,3740,8338,2680,2988,4950,13645,1140,481,5460,21244,6460,24615,4360,35892,50,169,230,121,70,335,4760,23764,200,1730,23530,39213,194440,3626253,192460,393608,0,0,9350,7262,92960,106992,4740,250,6760,3580,13280,11933,34890,7533,62350,82199,530,1012,21690,53127,17260,133688,17410,140610,12650,8587,188840,715846,49570,113797,42660,94342,48380,108928,8530,7119,4520,5170,139330,286782,153830,349919,0,0,0,0,37170,52555,158010,415716,156380,411011,2240,3832
16,ID,0,3,117910,34980,72070,9860,107810,5000,61710,71740,293280,103890,1950,120,1830,0,13750,33530,7270473,117910,7364092,99240,5479661,35580,36271,19560,71558,17800,45556,17630,14564,21100,207441,19840,120165,32690,894503,3730,5650,20341,26760,410934,8460,121077,37530,93619,3150,787,150,1449,4200,20898,3380,16472,17320,18938,108380,2207050,108370,2165334,21100,41671,9910,239828,641693,4100,61237,7800,25889,2140,3398,9160,23640,1960,878,9050,45542,9880,49459,7750,65378,290,1320,660,393,130,384,7900,46938,140,1313,20910,60606,117670,4752603,117160,561342,0,0,4080,8100,61570,148891,5960,529,6220,3263,8660,9253,13170,2228,47800,129548,820,2340,15540,43062,5770,50600,6430,58801,5250,5315,114860,622500,1920,811,1310,547,18640,42282,5250,4474,760,1194,97860,414266,104080,465452,0,0,0,0,33260,72960,84810,225793,82870,219499,2790,6198
16,ID,0,4,75510,12380,59280,3110,69300,2860,41230,44110,207950,72980,670,0,670,0,6160,23690,6546866,75510,6623353,63190,4728086,29330,37672,16260,68351,15010,45144,15760,14941,14720,152191,16080,127772,24710,873011,2120,2830,10796,18570,382723,6930,146815,25550,76487,2900,758,90,1184,2700,16336,2490,13119,11370,13896,65990,1489675,65970,1458566,14710,30584,9170,240296,825659,3010,44165,7310,31258,1040,1963,8290,25159,1520,765,8400,53775,9080,57671,7440,68368,110,272,250,205,220,392,7310,53288,100,1193,15260,58146,75440,4730860,75160,578293,0,0,1730,6940,39060,127679,5250,667,5490,3148,6210,7004,0,0,32910,112120,410,1959,10450,32037,1220,10864,2060,19808,1710,2472,73910,583113,0,0,0,0,4200,8367,3760,3342,50,161,70190,449764,71920,489070,0,0,0,0,22720,65603,52150,159151,50340,152360,2040,5988
16,ID,0,5,97300,9360,84700,2270,89870,4050,58990,42870,279980,97920,90,0,90,0,3920,31880,13160810,97300,13331396,82130,8907690,51770,95698,31820,200663,29700,141719,30860,36443,20500,329117,33770,593460,34380,1693816,3560,2380,10344,22980,549271,16340,663230,36960,170586,4270,1147,1120,17996,6320,50250,4050,25503,12980,15600,72480,1702405,72470,1664784,17250,36463,24490,770450,3610731,4340,66426,22490,161766,2000,5124,23280,83742,4370,2287,23410,198953,24650,210357,20870,224551,520,1794,2010,1610,850,3316,22260,239336,630,15275,27540,201929,97270,10454577,97130,1529742,40,318,820,5322,55320,184726,11460,3341,7440,4215,8220,9693,0,0,44070,153851,700,4407,15110,65869,130,1260,1050,9836,1080,2595,95330,1426630,0,0,0,0,400,1019,6020,5464,0,0,95930,1343809,96380,1425613,20,3,0,0,43060,215695,53530,217190,49510,187579,5100,31036
16,ID,0,6,28480,2160,25190,230,26920,670,22620,6290,84430,30920,0,0,0,0,40,9710,13448700,28480,13630074,23610,5286080,22750,208077,15900,435399,14980,328261,8920,39259,6670,339321,18320,2294946,8990,649367,760,90,501,5800,156263,13090,3123941,11540,181374,220,52,1190,39172,5360,61136,480,4817,0,0,12920,306262,12920,298213,3310,7085,14850,885458,8388160,230,5944,13650,363950,600,1820,13880,92240,1550,1120,14520,141120,14830,150959,11880,178874,130,789,1480,826,1700,29706,13900,409836,520,7472,14610,531788,28460,11659799,28450,2696271,230,2939,0,0,18460,93031,7900,19256,1290,691,0,0,0,0,9940,35373,90,833,6370,55245,0,0,20,146,0,0,27770,2591182,0,0,0,0,0,0,0,0,0,0,28400,2540735,28450,2710821,9530,15621,15650,77464,15210,424040,12420,319895,8040,109213,4890,172500
17,IL,0,1,1945310,1386260,186770,345630,1709150,135890,952670,1306470,2499210,799660,66180,31500,34690,11290,305240,373150,24015334,1945300,24408351,1515600,18486146,286650,178762,179090,303070,164160,194795,17620,7472,330560,2180844,143010,202538,286280,2707252,8330,45900,207234,90710,182626,34210,75607,350230,393017,3920,908,130,923,18570,68700,5100,18361,62050,58576,1909070,24895829,1909070,24398886,273190,498067,33910,748294,538454,23890,368249,11780,16692,16010,12268,23740,145909,1370,1128,29280,148520,32760,168614,16360,123742,110,695,180,44,400,739,20440,49132,360,2494,64150,45275,763800,4102100,742740,411713,40,253,15550,6088,287970,99142,11660,600,12880,4379,65140,32400,78390,13295,128440,46243,320,258,277880,386853,62940,488861,64620,480958,34250,19058,1747560,3860837,638170,1685551,562650,1465945,364590,573182,93400,81854,32470,25904,531510,311436,787650,723712,0,0,0,0,174110,159105,1641460,3290363,1631550,3265538,11090,18002
17,IL,0,2,1391180,764820,284280,313570,1250420,81220,729100,1040340,2518330,861680,28030,13010,15020,1190,246130,288540,50692975,1391180,51280648,1205290,41683263,274160,216853,158180,414754,146690,276768,75060,29788,172460,1394265,127490,361868,269740,4924989,10150,57390,338245,209280,1498850,46590,427786,304720,587673,23950,5675,1130,10713,22250,107795,21730,87137,152320,169282,1323010,21109768,1323000,20767791,181320,345411,68580,1539949,2702097,37690,564141,45570,93278,19420,23791,52330,303922,8620,11362,61290,363389,67610,400843,41780,303445,570,3143,790,438,750,1278,50450,196711,2300,18012,136020,226376,1379030,27732716,1369540,3028072,0,0,40820,33771,629210,734517,36120,2427,60020,37631,106480,112282,211270,41192,428240,533153,5720,7247,123650,287656,66060,485202,69410,515588,59540,38774,1353890,5527743,294830,644132,260340,553698,293830,586012,66850,58224,19080,19845,1037840,2296951,1106300,2635704,0,0,0,0,191530,286562,1193100,3159598,1180850,3122981,16770,33919
17,IL,0,3,865920,415530,311340,117530,778350,48750,482970,598740,1683190,509540,8010,1330,6680,0,103570,235510,53356694,865920,53935928,744250,41656318,275790,250305,171020,575482,159570,393852,127060,54323,111390,966028,139790,547336,233240,6387389,12210,37380,235233,169300,2611029,42950,543411,239300,579234,25070,6187,1290,13983,18530,120702,20890,99199,127140,148776,765140,13547532,765130,13283287,139480,265060,101910,2301536,6525151,37290,588065,79650,239864,20180,29370,89040,513481,13550,14883,94700,675896,101360,718818,77010,559485,830,4850,2030,1207,970,2069,79710,342601,4460,42674,111610,288121,863270,37167234,861350,4604995,40,42,15610,39090,358020,745026,49790,4782,35590,20853,63940,78255,47160,8061,270170,614337,4830,9792,81780,211132,15290,136580,22090,179716,20230,19381,852020,5632082,2520,1064,1270,551,65480,112993,42150,38861,920,1392,790910,3863445,810160,4112846,20,5,0,0,178330,373594,688340,1866803,673610,1815282,20440,51674
17,IL,0,4,578350,191090,324100,50270,521710,29320,340420,381760,1288020,385550,2010,50,1960,0,48680,182730,50179832,578350,50642741,494850,37483734,244920,260640,158510,653805,148210,461118,134990,67355,81630,821363,129580,684904,190190,6941000,7730,25940,155802,131190,2590979,35850,553868,151380,462909,21170,5450,940,11508,11560,89473,12020,68247,61190,68190,478800,9777593,478800,9563760,106680,213286,97670,2334000,8567469,26260,447533,79810,323550,14220,22978,88390,550195,10250,10510,91530,749142,97450,797094,78040,617910,1100,7133,880,647,900,2134,78630,374155,2300,25517,91060,287331,577400,37656278,576280,5005688,30,116,5160,22811,257710,659853,48250,6524,30940,18212,44810,58698,0,0,205030,556641,2780,6705,59810,172706,990,8190,6760,51321,6520,9421,571960,5639584,0,0,0,0,8460,13010,31050,28804,0,0,563510,4343150,567750,4558509,40,11,0,0,133850,354657,441340,1429737,427200,1372033,16330,51763
17,IL,0,5,909960,159930,702110,36260,826460,47740,550910,483970,2378270,767710,160,0,160,0,43590,289410,125040878,909950,126311367,793400,91613425,507720,735820,370760,2247437,350230,1651982,348950,234054,151640,2351408,316440,2971989,328210,17143272,15970,33960,210214,195180,4395011,98950,2422180,299330,1270489,54650,14860,9590,149649,31460,308396,28000,166614,105360,120125,705210,16000405,705140,15664379,156900,330628,203710,5852168,29222345,38060,733035,176500,1140426,25120,47576,191220,1481805,21700,19068,193000,1788406,203570,1915629,169800,1753280,2050,14971,5770,3085,5990,22603,179270,1213948,8990,135502,204750,1036556,909310,101957760,908500,15722935,410,3110,1680,11275,508850,1409989,132110,33358,78160,45196,82550,113291,0,0,394920,1149417,1790,4970,119190,463984,0,0,2120,15197,3400,7820,902590,15924370,0,0,0,0,40,96,66550,65593,0,0,905450,14307302,906610,14897248,6360,1669,700,254,332150,1370685,574480,2396679,538580,2135006,45120,269033
17,IL,0,6,358600,38130,306550,5910,328170,18880,252060,105190,1038370,377110,0,0,0,0,3210,107140,188151431,358600,190664028,315030,97880805,283290,3230520,250000,9304644,240990,7263015,130110,566914,74630,4469145,235980,30461431,116790,9305044,1520,5460,39029,59350,1610774,115260,26201766,119980,2512597,10810,2814,21500,864860,36430,555866,4020,38183,0,0,179270,4204257,179250,4111685,40080,86676,175920,10593761,122419655,6110,226543,162970,5377417,10100,24883,163520,2275046,12100,11557,169580,1680277,175900,2226614,146190,2421537,1460,18730,3890,1940,23710,602381,164660,4465846,11200,237695,143430,3538669,358480,169117673,358380,41694918,6180,115626,0,0,252480,1397382,132680,626062,35780,20108,0,0,0,0,133710,404386,40,149,77300,852609,0,0,0,0,50,225,356200,44724636,0,0,0,0,0,0,0,0,0,0,358130,40141286,358420,42663807,182830,420469,206460,1065549,175890,3663562,177620,5649507,123630,1606180,60940,3911168
18,IN,0,1,1086910,775430,128020,166050,984770,54800,458270,737010,1393890,403520,38090,16760,21330,4270,174140,271040,13046891,1086910,13204357,828290,9822046,165130,89451,87990,132027,80210,82327,6570,2392,129830,814867,70480,92441,226940,2081514,7650,9010,35109,65310,124475,10830,12215,145270,157466,1210,266,20,243,9640,28469,1490,5075,30150,26304,1075480,14396085,1075460,13983987,220520,412632,10010,237856,173620,7930,153311,4990,6814,3130,2857,4820,11397,2540,756,8510,22204,9600,25395,2870,17992,0,0,0,0,40,176,5000,17864,160,2077,24440,16830,394660,2176378,388240,220196,0,0,8340,3691,142520,46888,3790,163,6120,2083,22170,11074,52200,7875,63190,23761,50,40,106820,142231,25660,137633,26410,134690,23710,12521,970400,2042040,335050,864712,304120,779839,189560,288450,32520,27580,13260,10492,291180,172753,398120,332092,0,0,0,0,69010,57013,927080,1765047,923530,1755900,4020,5460
18,IN,0,2,777250,413980,181160,159710,720010,29210,355760,595250,1416310,465680,13090,7070,6030,190,158650,171310,28302598,777250,28568596,678190,23428184,140590,95614,77050,174458,71720,114992,30560,10686,78010,649391,63020,181967,163970,2825757,9450,14270,58113,135590,975224,16370,104820,156580,265998,11750,2758,180,2034,11190,46959,9950,35766,84260,86553,757840,12279542,757840,12053067,114870,227269,19260,470665,777414,12600,226068,16770,34796,1740,2368,12800,27807,9490,3653,17430,61685,19130,68683,9360,58326,0,0,150,45,60,1059,14310,86973,1330,18301,65800,97896,770290,15396555,765260,1675985,0,0,16410,13693,346680,405298,18380,918,29640,16961,39070,39428,143550,27112,240970,319175,1170,1306,56410,128530,23940,114619,26030,125159,38660,24835,763220,3168457,178800,388283,159330,342106,168570,347562,23680,20041,6620,6548,582680,1271352,620530,1433619,0,0,0,0,88950,120367,685080,1849180,679910,1833004,8010,15230
18,IN,0,3,451080,171000,215610,53860,416800,16870,232700,318230,971370,305680,2850,800,2060,0,66180,124680,27759552,451080,28011659,394520,21936473,129930,99961,74910,224376,69900,153739,51950,20427,59500,542311,63560,280056,125150,2947770,10410,10510,42860,98490,1579685,19980,218304,122210,252107,11370,2807,360,4107,9300,52488,8980,38836,64380,72404,426410,8056424,426400,7900532,79810,156314,25790,626953,1660034,11600,201371,23780,74783,1180,2273,20740,47960,15020,5920,23430,116313,25660,127512,17620,115505,100,520,160,115,180,437,19720,130921,1500,19049,59530,140498,450200,18915555,449330,2281301,0,0,6050,12842,204850,452489,22560,1718,20020,10647,26470,31694,39580,6518,158750,394034,980,1781,44670,110449,4560,24915,8140,42298,11600,11408,445820,2852338,2590,1099,1350,571,45710,87482,16940,15280,190,273,402020,1829535,415310,1966158,0,0,0,0,83440,160332,367840,1037252,361500,1016988,10030,21699
18,IN,0,4,298350,60460,215810,17820,275970,10310,162530,204370,750610,236570,210,20,190,0,33290,90260,25863023,298350,26084756,263740,20050186,112660,97349,67200,243793,62620,170896,51850,25777,46730,491696,56090,341844,95930,2833299,6430,6750,27247,70150,1502236,16250,242937,92010,221733,9910,2613,380,4911,5510,38947,5810,29291,45630,54263,273900,5968938,273890,5855780,56300,114361,22820,576862,2035654,7350,135290,21910,94734,270,779,20120,51368,14410,5643,21050,134989,22830,146003,16860,120722,50,288,260,109,280,513,17950,127047,730,13729,50410,154729,298020,19085320,297570,2390548,0,0,1460,5267,144740,416041,19290,1938,20290,11585,22030,28131,0,0,122720,365444,570,1320,35680,96446,140,782,2000,10277,3610,5317,295790,2732697,0,0,0,0,7030,12772,15000,13877,0,0,288030,1973505,291170,2094707,0,0,0,0,60320,152050,236200,788356,230110,764283,7370,22048
18,IN,0,5,396630,40700,340870,10560,367030,15440,223710,224300,1108230,371700,0,0,0,0,24560,118500,53316930,396630,53827368,357030,40648250,201310,235585,133320,724522,125940,543165,134510,98429,70330,1144542,115730,1284364,135220,5445819,9550,5300,22259,82230,2075161,44760,1443412,145920,510438,20040,5381,2750,43153,13850,125981,9770,57577,60400,70193,334930,7806987,334890,7668287,64370,135064,62030,1860860,9317606,10870,207177,60650,428855,680,1933,58160,182013,42490,19795,58750,507403,62080,538171,50730,449634,210,1367,1300,725,1080,4498,55430,549101,2790,53047,92570,531720,396480,43069772,396140,6398503,50,255,500,2660,227890,681522,45450,9560,36610,20891,36600,49717,0,0,188520,570950,360,1019,56270,216529,0,0,610,3483,1370,3369,393730,6566229,0,0,0,0,20,45,29300,28654,0,0,394250,5716289,394930,5994868,710,190,30,6,131450,543076,265180,1112993,251960,1008112,18420,106437
18,IN,0,6,106290,7620,93830,1070,98650,3750,76270,30290,313420,113500,0,0,0,0,750,33660,48561601,106290,49194640,93870,24503101,83020,511713,67230,1714694,64550,1364950,43400,174848,23970,1247593,64850,5510682,34430,2240967,880,120,590,18320,526071,39910,9605494,40150,633039,1500,376,5080,171809,14070,190372,920,8841,0,0,55790,1323336,55780,1295170,11510,24511,47890,2675685,27600854,800,20489,46870,1234199,240,676,45300,278456,28560,18260,46440,459677,47900,521895,37850,503720,100,1145,1090,358,4380,53134,45220,1268900,2220,71796,48300,1594134,106260,42555767,106230,10062949,690,9224,0,0,71990,314861,33850,77059,7830,4197,0,0,0,0,39610,122363,30,140,24750,203235,0,0,0,0,0,0,105300,10399531,0,0,0,0,0,0,0,0,0,0,106140,9684974,106220,10219160,44780,78739,57570,182430,49610,1078846,53290,1318348,37280,486678,18620,762674
